sku,date,demand_units,category,stockout_flag
1001|38,2024-03-28,0.77,5,0
1001|38,2024-03-29,1.10,5,0
1001|38,2024-03-30,1.79,5,0
1001|38,2024-03-31,1.96,5,0
1001|38,2024-04-01,2.09,5,0
1001|38,2024-04-02,0.00,5,0
1001|38,2024-04-03,2.50,5,0
1001|38,2024-04-04,2.46,5,0
1001|38,2024-04-05,2.19,5,0
1001|38,2024-04-06,4.67,5,0
1001|38,2024-04-07,4.91,5,0
1001|38,2024-04-08,3.45,5,0
1001|38,2024-04-09,4.55,5,0
1001|38,2024-04-10,3.62,5,0
1001|38,2024-04-11,4.56,5,0
1001|38,2024-04-12,0.00,5,1
1001|38,2024-04-13,6.10,5,0
1001|38,2024-04-14,5.24,5,0
1001|38,2024-04-15,4.78,5,0
1001|38,2024-04-16,4.34,5,0
1001|38,2024-04-17,4.98,5,0
1001|38,2024-04-18,6.48,5,0
1001|38,2024-04-19,5.23,5,0
1001|38,2024-04-20,6.59,5,0
1001|38,2024-04-21,6.56,5,0
1001|38,2024-04-22,6.65,5,0
1001|38,2024-04-23,6.40,5,0
1001|38,2024-04-24,7.47,5,0
1001|38,2024-04-25,6.61,5,0
1001|38,2024-04-26,7.92,5,0
1001|38,2024-04-27,8.58,5,0
1001|38,2024-04-28,10.01,5,0
1001|38,2024-04-29,11.23,5,0
1001|38,2024-04-30,8.40,5,0
1001|38,2024-05-01,9.75,5,0
1001|38,2024-05-02,8.35,5,0
1001|38,2024-05-03,10.34,5,0
1001|38,2024-05-04,12.39,5,0
1001|38,2024-05-05,10.91,5,0
1001|38,2024-05-06,9.77,5,0
1001|38,2024-05-07,9.98,5,0
1001|38,2024-05-08,10.83,5,0
1001|38,2024-05-09,12.41,5,0
1001|38,2024-05-10,12.41,5,0
1001|38,2024-05-11,15.22,5,0
1001|38,2024-05-12,11.84,5,0
1001|38,2024-05-13,12.14,5,0
1001|38,2024-05-14,11.73,5,0
1001|38,2024-05-15,12.24,5,0
1001|38,2024-05-16,0.00,5,0
1001|38,2024-05-17,14.42,5,0
1001|38,2024-05-18,17.57,5,0
1001|38,2024-05-19,17.79,5,1
1001|38,2024-05-20,0.00,5,0
1001|38,2024-05-21,0.00,5,1
1001|38,2024-05-22,15.70,5,0
1001|38,2024-05-23,9.99,5,0
1001|38,2024-05-24,10.64,5,0
1001|38,2024-05-25,20.15,5,0
1001|38,2024-05-26,16.22,5,0
1001|38,2024-05-27,13.23,5,0
1001|38,2024-05-28,12.08,5,0
1001|38,2024-05-29,15.65,5,0
1001|38,2024-05-30,16.51,5,0
1001|38,2024-05-31,16.44,5,0
1001|38,2024-06-01,16.97,5,0
1001|38,2024-06-02,17.41,5,0
1001|38,2024-06-03,14.74,5,0
1001|38,2024-06-04,14.62,5,0
